Round 23 (EVM Votes),Column_1,Column_2,Column_3,Column_4
Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total
KONETI SUJATHA,Bahujan Samaj Party,719,50,769
MAGANTI GOPINATH,Bharat Rashtra Samithi,66507,3298,69805
MOHAMMED AZHARUDDIN,Indian National Congress,54219,2035,56254
M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6791,140,6931
LANKALA DEEPAK REDDY,Bharatiya Janata Party,22247,1272,23519
DR.GUDOORI CHENNA REDDY,Indian Praja Congress,165,6,171
NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,769,37,806
M.PRASUNAMBA,Navarang Congress Party,100,7,107
GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,59,6,65
ANAND RAO,Independent,43,2,45
MACHCHERLA VENKAT REDDY,Independent,51,6,57
MOHAMMED AKBARUDDIN,Independent,76,3,79
MOHAMMED ISMAIL KHAN,Independent,47,1,48
VANAPARTHY RAMBABU,Independent,95,4,99
SHAIK KAREEM,Independent,167,9,176
SHAIK SHAREEF,Independent,182,4,186
SIDDHARTHA CHAKRAVARTHY,Independent,125,5,130
SURABHI SINGH,Independent,160,18,178
SHIV SHANKAR REDDY.S,Independent,116,4,120
NOTA,None of the Above,1186,57,1243
,Total,153824,6964,160788
