,Candidate,Party,Votes Brought From Previous Rounds,Current Round,Total,Round
0,KONETI SUJATHA,Bahujan Samaj Party,202,30,232,8
1,MAGANTI GOPINATH,Bharat Rashtra Samithi,18775,3291,22066,8
2,MOHAMMED AZHARUDDIN,Indian National Congress,18040,2838,20878,8
3,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,5051,203,5254,8
4,LANKALA DEEPAK REDDY,Bharatiya Janata Party,7070,838,7908,8
5,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,50,9,59,8
6,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,227,41,268,8
7,M.PRASUNAMBA,Navarang Congress Party,29,4,33,8
8,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,11,4,15,8
9,ANAND RAO,Independent,12,1,13,8
10,MACHCHERLA VENKAT REDDY,Independent,11,6,17,8
11,MOHAMMED AKBARUDDIN,Independent,33,8,41,8
12,MOHAMMED ISMAIL KHAN,Independent,17,3,20,8
13,VANAPARTHY RAMBABU,Independent,28,3,31,8
14,SHAIK KAREEM,Independent,45,7,52,8
15,SHAIK SHAREEF,Independent,59,8,67,8
16,SIDDHARTHA CHAKRAVARTHY,Independent,32,5,37,8
17,SURABHI SINGH,Independent,60,6,66,8
18,SHIV SHANKAR REDDY.S,Independent,44,4,48,8
19,NOTA,None of the Above,304,79,383,8
20,,Total,50100,7388,57488,8
21,KONETI SUJATHA,Bahujan Samaj Party,645,30,675,21
22,MAGANTI GOPINATH,Bharat Rashtra Samithi,58199,4481,62680,21
23,MOHAMMED AZHARUDDIN,Indian National Congress,48919,2837,51756,21
24,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6209,424,6633,21
25,LANKALA DEEPAK REDDY,Bharatiya Janata Party,20042,790,20832,21
26,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,147,9,156,21
27,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,646,60,706,21
28,M.PRASUNAMBA,Navarang Congress Party,84,7,91,21
29,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,48,4,52,21
30,ANAND RAO,Independent,39,2,41,21
31,MACHCHERLA VENKAT REDDY,Independent,50,1,51,21
32,MOHAMMED AKBARUDDIN,Independent,71,1,72,21
33,MOHAMMED ISMAIL KHAN,Independent,41,3,44,21
34,VANAPARTHY RAMBABU,Independent,83,9,92,21
35,SHAIK KAREEM,Independent,148,6,154,21
36,SHAIK SHAREEF,Independent,143,21,164,21
37,SIDDHARTHA CHAKRAVARTHY,Independent,111,10,121,21
38,SURABHI SINGH,Independent,127,21,148,21
39,SHIV SHANKAR REDDY.S,Independent,103,10,113,21
40,NOTA,None of the Above,1085,37,1122,21
41,,Total,136940,8763,145703,21
42,KONETI SUJATHA,Bahujan Samaj Party,675,44,719,22
43,MAGANTI GOPINATH,Bharat Rashtra Samithi,62680,3827,66507,22
44,MOHAMMED AZHARUDDIN,Indian National Congress,51756,2463,54219,22
45,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6633,158,6791,22
46,LANKALA DEEPAK REDDY,Bharatiya Janata Party,20832,1415,22247,22
47,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,156,9,165,22
48,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,706,63,769,22
49,M.PRASUNAMBA,Navarang Congress Party,91,9,100,22
50,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,52,7,59,22
51,ANAND RAO,Independent,41,2,43,22
52,MACHCHERLA VENKAT REDDY,Independent,51,0,51,22
53,MOHAMMED AKBARUDDIN,Independent,72,4,76,22
54,MOHAMMED ISMAIL KHAN,Independent,44,3,47,22
55,VANAPARTHY RAMBABU,Independent,92,3,95,22
56,SHAIK KAREEM,Independent,154,13,167,22
57,SHAIK SHAREEF,Independent,164,18,182,22
58,SIDDHARTHA CHAKRAVARTHY,Independent,121,4,125,22
59,SURABHI SINGH,Independent,148,12,160,22
60,SHIV SHANKAR REDDY.S,Independent,113,3,116,22
61,NOTA,None of the Above,1122,64,1186,22
62,,Total,145703,8121,153824,22
63,KONETI SUJATHA,Bahujan Samaj Party,144,58,202,7
64,MAGANTI GOPINATH,Bharat Rashtra Samithi,14598,4177,18775,7
65,MOHAMMED AZHARUDDIN,Indian National Congress,15238,2802,18040,7
66,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,4825,226,5051,7
67,LANKALA DEEPAK REDDY,Bharatiya Janata Party,6318,752,7070,7
68,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,37,13,50,7
69,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,174,53,227,7
70,M.PRASUNAMBA,Navarang Congress Party,16,13,29,7
71,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,8,3,11,7
72,ANAND RAO,Independent,9,3,12,7
73,MACHCHERLA VENKAT REDDY,Independent,9,2,11,7
74,MOHAMMED AKBARUDDIN,Independent,29,4,33,7
75,MOHAMMED ISMAIL KHAN,Independent,14,3,17,7
76,VANAPARTHY RAMBABU,Independent,16,12,28,7
77,SHAIK KAREEM,Independent,29,16,45,7
78,SHAIK SHAREEF,Independent,43,16,59,7
79,SIDDHARTHA CHAKRAVARTHY,Independent,25,7,32,7
80,SURABHI SINGH,Independent,46,14,60,7
81,SHIV SHANKAR REDDY.S,Independent,31,13,44,7
82,NOTA,None of the Above,265,39,304,7
83,,Total,41874,8226,50100,7
84,KONETI SUJATHA,Bahujan Samaj Party,97,9,106,5
85,MAGANTI GOPINATH,Bharat Rashtra Samithi,9187,2214,11401,5
86,MOHAMMED AZHARUDDIN,Indian National Congress,9840,2653,12493,5
87,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,4005,737,4742,5
88,LANKALA DEEPAK REDDY,Bharatiya Janata Party,3993,870,4863,5
89,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,22,4,26,5
90,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,111,36,147,5
91,M.PRASUNAMBA,Navarang Congress Party,10,1,11,5
92,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,8,0,8,5
93,ANAND RAO,Independent,7,2,9,5
94,MACHCHERLA VENKAT REDDY,Independent,4,3,7,5
95,MOHAMMED AKBARUDDIN,Independent,20,3,23,5
96,MOHAMMED ISMAIL KHAN,Independent,9,4,13,5
97,VANAPARTHY RAMBABU,Independent,11,1,12,5
98,SHAIK KAREEM,Independent,18,4,22,5
99,SHAIK SHAREEF,Independent,30,4,34,5
100,SIDDHARTHA CHAKRAVARTHY,Independent,16,1,17,5
101,SURABHI SINGH,Independent,23,4,27,5
102,SHIV SHANKAR REDDY.S,Independent,23,3,26,5
103,NOTA,None of the Above,154,44,198,5
104,,Total,27588,6597,34185,5
105,KONETI SUJATHA,Bahujan Samaj Party,769,28,797,24
106,MAGANTI GOPINATH,Bharat Rashtra Samithi,69805,3781,73586,24
107,MOHAMMED AZHARUDDIN,Indian National Congress,56254,2453,58707,24
108,M.D. RASHED FARAZUDDIN,All India Majlis-E-Ittehadul Muslimeen,6931,327,7258,24
109,LANKALA DEEPAK REDDY,Bharatiya Janata Party,23519,943,24462,24
110,DR.GUDOORI CHENNA REDDY,Indian Praja Congress,171,11,182,24
111,NANDA KISHORE TALLADA,Alliance of Democratic Reforms Party,806,43,849,24
112,M.PRASUNAMBA,Navarang Congress Party,107,5,112,24
113,GONTI SRIKANTH,Samaikyandhra Parirakshana Samithi,65,3,68,24
114,ANAND RAO,Independent,45,3,48,24
115,MACHCHERLA VENKAT REDDY,Independent,57,6,63,24
116,MOHAMMED AKBARUDDIN,Independent,79,3,82,24
117,MOHAMMED ISMAIL KHAN,Independent,48,5,53,24
118,VANAPARTHY RAMBABU,Independent,99,7,106,24
